Nombre,Direccion,Longitud,Latitud
Abarrotes Dunosusa Tomás Aznar,"C. Jalisco 5, Tomás Aznar, 24050 San Francisco de Campeche, Camp.",-90.520609,19.834845
ABARROTES EL AMIGO,"Tamaulipas 36, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.530835,19.841713
ABARROTES el ARBOLITO,"C. Montecristo 24, Prado, 24030 San Francisco de Campeche, Camp.",-90.549443,19.833588
Abarrotes El Chato,"C. Riva Palacios 16A, entre 12 y 14, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp.",-90.526393,19.849154
Abarrotes el gran poder,"C. Veracruz 16A, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.522172,19.83989
Abarrotes el GUAPOTE,"C. 5 90, Bellavista, 24020 San Francisco de Campeche, Camp.",-90.515001,19.854458
Abarrotes El Localcito de Nichi,"C. 11 entre 22 y 24, Centro, 24520 Chiná, Camp.",-90.496056,19.770261
Abarrotes el Milagro,"C. Nicaragua 3B, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.532198,19.842153
ABARROTES EL MILAGRO,"Leandro Domínguez Manzana S 22A, Sta Bárbara I y II, 24070 San Francisco de Campeche, Camp.",-90.503604,19.841303
ABARROTES EL PARADERO,"Palma Sola, 24520 Chiná, Camp.",-90.498237,19.779132
ABARROTES EL PORVENIR,"Tixmucuy, Solidaridad Urbana, 24060 San Francisco de Campeche, Camp.",-90.521086,19.818118
ABARROTES EL REGALO DE DIOS,"C. Cuba 90, Barrio de Sta Ana, 24010 San Francisco de Campeche, Camp.",-90.521003,19.846144
ABARROTES EL ZAPOTE SANTA ANA,"Tamaulipas 82, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.529182,19.841914
Abarrotes Eredis,"C. Jalisco, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.523856,19.836817
